id, position_x, position_y, position_z, pressure, acceleration_0, acceleration_1, acceleration_2, magnetic_0, magnetic_1, magnetic_2, angular_vel_0, angular_vel_1, angular_vel_2, euler_angles_0, euler_angles_1, euler_angles_2, quaternion_0, quaternion_1, quaternion_2, quaternion_3, linear_acceleration_0, linear_acceleration_1, linear_acceleration_2, gravity_vector_0, gravity_vector_1, gravity_vector_2, temperature
0x694c,2027,5040,5416,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,0,0,-538,100318250,0,-33,960,136,696,-246,0,1,1,402,2,24,15990,-215,29,-3565,-3,-7,-25,2,-25,980,33
0x694c,2062,5018,5414,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,0,0,-538,100316250,0,-32,968,129,696,-233,-2,-3,1,402,2,24,15990,-215,29,-3565,-3,-6,-12,2,-25,980,33
0x694c,1974,4847,-160,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,0,0,-538,100318000,0,-33,967,129,696,-240,-2,3,1,402,2,24,15990,-215,29,-3565,-1,-7,-12,2,-25,980,32
0x694c,2088,5035,5430,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,0,0,-538,100318000,0,-34,960,129,684,-227,0,-2,-1,402,2,24,15990,-215,29,-3565,-2,-8,-20,2,-25,980,32
0x694c,2054,5044,5449,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,0,0,-538,100321250,-2,-34,959,136,691,-233,1,1,0,402,2,24,15990,-215,29,-3565,-4,-8,-20,2,-25,980,32
0x694c,2033,5083,5448,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,0,0,-538,100320000,-1,-34,967,147,732,-227,0,0,1,402,2,24,15990,-215,29,-3565,-3,-6,-19,2,-25,980,32
0x694c,2052,5074,5472,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1828,5139,677,100318500,0,-30,967,147,702,-233,-1,-1,1,402,2,24,15990,-215,29,-3565,-3,-6,-13,2,-25,980,32
0x694c,2033,5074,5461,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1980,5228,609,100317000,-2,-33,965,140,702,-220,-2,3,1,402,2,24,15990,-215,29,-3565,-4,-7,-14,2,-25,980,32
0x694c,2060,5024,5411,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1876,5183,681,100314750,0,-31,967,136,691,-233,-1,1,0,402,2,24,15990,-215,29,-3565,-3,-6,-13,2,-25,980,32
0x694c,2058,5012,5414,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1863,5173,640,100312750,-3,-33,965,136,702,-246,-1,1,2,402,2,24,15990,-215,29,-3565,-5,-7,-14,2,-25,980,32
0x694c,2021,5058,5468,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1846,5157,671,100312250,0,-32,967,129,696,-227,0,2,0,402,2,24,15990,-215,29,-3565,-3,-6,-12,2,-25,980,32
0x694c,2069,5082,5420,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1846,5157,671,100312000,0,-31,956,140,696,-227,-2,1,0,402,2,24,15990,-215,29,-3565,-2,-6,-16,2,-25,980,32
0x694c,2038,5072,5448,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1846,5157,671,100311250,1,-32,965,147,702,-227,0,-4,0,402,2,24,15990,-215,29,-3565,-1,-6,-15,2,-25,980,32
0x694c,2073,5077,5412,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1913,5151,709,100311500,0,-32,966,129,702,-240,-1,3,0,402,2,24,15990,-215,29,-3565,-2,-6,-13,2,-25,980,33
0x694c,2091,5018,5405,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1913,5151,709,100309000,-3,-31,963,129,696,-246,1,1,0,402,2,24,15990,-215,29,-3565,-5,-6,-16,2,-25,980,33
0x694c,2024,4999,5419,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1755,5144,699,100309250,0,-32,965,136,696,-233,-1,4,1,402,2,24,15990,-215,29,-3565,-3,-6,-14,2,-25,980,33
0x694c,2010,5060,5462,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1923,5175,657,100312000,-1,-32,969,123,720,-233,1,2,2,402,2,24,15990,-215,29,-3565,-3,-6,-10,2,-25,980,33
0x694c,2050,5020,5447,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1784,5087,713,100306750,-2,-33,957,129,684,-227,1,1,1,402,2,24,15990,-215,29,-3565,-4,-7,-22,2,-25,980,33
0x694c,2038,5048,5460,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,0,0,0,100307750,0,-35,969,140,726,-227,0,0,0,402,2,24,15990,-215,29,-3565,-1,-6,-12,2,-25,980,33
0x694c,2079,5008,5405,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1784,5087,713,100308500,0,-31,956,123,739,-220,0,0,-1,402,2,24,15990,-215,29,-3565,-1,-5,-22,2,-25,980,33
0x694c,2061,5068,5426,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1784,5087,713,100308250,0,-33,966,136,715,-227,-1,-3,-1,402,2,24,15990,-215,29,-3565,-2,-6,-16,2,-25,980,33
0x694c,2043,5020,5463,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1784,5087,713,100305750,0,-33,955,147,715,-227,2,-2,1,402,2,24,15990,-215,29,-3565,-2,-7,-18,2,-25,980,33
0x694c,2057,4984,5421,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1784,5087,713,100306000,0,-32,966,136,708,-227,-1,1,2,402,2,24,15990,-215,29,-3565,-2,-6,-11,2,-25,980,33
0x694c,2040,5050,5464,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1891,5161,662,100307750,-1,-31,968,136,702,-233,0,-1,0,402,2,24,15990,-215,29,-3565,-3,-6,-11,2,-25,980,33
0x694c,2066,5025,5439,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1891,5161,662,100309750,-1,-31,958,123,702,-240,0,4,1,402,2,24,15990,-215,29,-3565,-3,-6,-21,2,-25,980,33
0x694c,1855,5131,-656,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2104,5127,634,100305250,-2,-31,966,129,702,-220,5,1,0,402,2,24,15990,-215,29,-3565,-4,-6,-13,2,-25,980,33
0x694c,2043,5031,5429,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2104,5127,634,100308500,0,-34,954,140,726,-220,3,0,1,402,2,24,15990,-215,29,-3565,0,-7,-25,2,-25,980,33
0x694c,2059,5025,5413,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
